indicator,year,location,ageGroup,ebllDescription,pctEbll,fips,numTested,numEbll,denominator,pctTested,unstable,
"Test year (annual method)","2011","Minnesota","<3 years",">5 mcg/dL (current reference level)","0.9","27000","79567","699","208065","38.2","false"
"Test year (annual method)","2011","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","1.9","27000","11777","227","217187","5.4","false"
"Test year (annual method)","2011","Minnesota","<6 years",">5 mcg/dL (current reference level)","1.0","27000","91344","926","425252","21.5","false"
"Test year (annual method)","2012","Minnesota","<3 years",">5 mcg/dL (current reference level)","1.0","27000","78842","780","207312","38","false"
"Test year (annual method)","2012","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","2.4","27000","11743","283","215225","5.5","false"
"Test year (annual method)","2012","Minnesota","<6 years",">5 mcg/dL (current reference level)","1.2","27000","90585","1063","422537","21.4","false"
"Test year (annual method)","2013","Minnesota","<3 years",">5 mcg/dL (current reference level)","0.8","27000","79168","663","207390","38.2","false"
"Test year (annual method)","2013","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","2.0","27000","10320","203","213325","4.8","false"
"Test year (annual method)","2013","Minnesota","<6 years",">5 mcg/dL (current reference level)","1.0","27000","89488","866","420715","21.3","false"
"Test year (annual method)","2014","Minnesota","<3 years",">5 mcg/dL (current reference level)","0.7","27000","79460","564","208919","38","false"
"Test year (annual method)","2014","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","1.7","27000","9600","166","211046","4.5","false"
"Test year (annual method)","2014","Minnesota","<6 years",">5 mcg/dL (current reference level)","0.8","27000","89060","730","419965","21.2","false"
"Test year (annual method)","2015","Minnesota","<3 years",">5 mcg/dL (current reference level)","0.8","27000","79181","625","210833","37.6","false"
"Test year (annual method)","2015","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","1.8","27000","8536","156","210596","4.1","false"
"Test year (annual method)","2015","Minnesota","<6 years",">5 mcg/dL (current reference level)","0.9","27000","87717","781","421429","20.8","false"
"Test year (annual method)","2016","Minnesota","<3 years",">5 mcg/dL (current reference level)","0.8","27000","81012","658","211442","38.3","false"
"Test year (annual method)","2016","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","2.4","27000","8832","215","211658","4.2","false"
"Test year (annual method)","2016","Minnesota","<6 years",">5 mcg/dL (current reference level)","1.0","27000","89844","873","423100","21.2","false"
"Test year (annual method)","2017","Minnesota","<3 years",">5 mcg/dL (current reference level)","0.7","27000","82881","571","211833","39.1","false"
"Test year (annual method)","2017","Minnesota","3-<6 years",">5 mcg/dL (current reference level)","2.0","27000","9654","194","214657","4.5","false"
"Test year (annual method)","2017","Minnesota","<6 years",">5 mcg/dL (current reference level)","0.8","27000","92535","765","426490","21.7","false"
"Test year (annual method)","2011","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.7*","27001","140","1","386","36.3","true"
"Test year (annual method)","2011","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","28","0","495","5.7","true"
"Test year (annual method)","2011","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.6*","27001","168","1","881","19.1","true"
"Test year (annual method)","2012","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.9*","27001","108","1","388","27.8","true"
"Test year (annual method)","2012","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","14","0","474","3","true"
"Test year (annual method)","2012","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.8*","27001","122","1","862","14.2","true"
"Test year (annual method)","2013","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.0*","27001","121","0","365","33.2","true"
"Test year (annual method)","2013","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","22","0","431","5.1","true"
"Test year (annual method)","2013","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.0*","27001","143","0","796","18","true"
"Test year (annual method)","2014","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.0*","27001","136","0","361","37.7","true"
"Test year (annual method)","2014","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","19","0","405","4.7","true"
"Test year (annual method)","2014","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.0*","27001","155","0","766","20.2","true"
"Test year (annual method)","2015","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.0*","27001","101","0","347","29.1","true"
"Test year (annual method)","2015","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","15","0","411","3.6","true"
"Test year (annual method)","2015","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.0*","27001","116","0","758","15.3","true"
"Test year (annual method)","2016","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.0*","27001","117","0","305","38.4","true"
"Test year (annual method)","2016","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","15","0","412","3.6","true"
"Test year (annual method)","2016","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.0*","27001","132","0","717","18.4","true"
"Test year (annual method)","2017","Aitkin","<3 years",">5 mcg/dL (current reference level)","0.0*","27001","126","0","340","37.1","true"
"Test year (annual method)","2017","Aitkin","3-<6 years",">5 mcg/dL (current reference level)","0.0*","27001","23","0","396","5.8","true"
"Test year (annual method)","2017","Aitkin","<6 years",">5 mcg/dL (current reference level)","0.0*","27001","149","0","736","20.2","true"
"Test year (annual method)","2011","Anoka","<3 years",">5 mcg/dL (current reference level)","0.4","27003","5634","20","12832","43.9","false"
"Test year (annual method)","2011","Anoka","3-<6 years",">5 mcg/dL (current reference level)","0.4*","27003","462","2","13708","3.4","true"
